-1.799, -3.307, 1.041
-1.802, -3.299, 1.041
-1.782, -3.306, 1.040
-1.770, -3.310, 1.040
-1.768, -3.313, 1.039
-1.766, -3.314, 1.039
-1.766, -3.308, 1.037
-1.770, -3.301, 1.037
-1.761, -3.277, 1.033
-1.756, -3.259, 1.033
-1.750, -3.253, 1.032
-1.747, -3.244, 1.032
-1.754, -3.259, 1.031
-1.759, -3.267, 1.031
-1.749, -3.279, 1.029
-1.739, -3.286, 1.029
-1.747, -3.300, 1.028
-1.753, -3.307, 1.028
-1.745, -3.312, 1.026
-1.737, -3.315, 1.026
-1.752, -3.325, 1.025
-1.764, -3.331, 1.025
-1.762, -3.349, 1.024
-1.763, -3.364, 1.024
-1.772, -3.357, 1.022
-1.777, -3.352, 1.022
-1.767, -3.355, 1.021
-1.758, -3.356, 1.021
-1.772, -3.352, 1.020
-1.782, -3.350, 1.020
-1.780, -3.351, 1.017
-1.776, -3.354, 1.017
-1.761, -3.350, 1.014
-1.748, -3.347, 1.014
-1.763, -3.360, 1.010
-1.774, -3.370, 1.010
-1.778, -3.359, 1.008
-1.782, -3.349, 1.008
-1.783, -3.348, 1.006
-1.782, -3.347, 1.006
-1.726, -3.040, 1.004
-1.680, -2.794, 1.004
-1.584, -2.794, 1.162
-1.754, -3.085, 1.162
-1.424, -2.941, 1.314
-1.273, -2.988, 1.314
-1.387, -2.975, 1.256
-1.330, -2.775, 1.256
-1.075, -3.530, 1.218
-0.797, -4.080, 1.218
-0.120, -3.584, 1.314
0.421, -3.351, 1.314
-1.526, -2.014, 2.148
-2.903, -1.755, 2.148
-2.855, 1.898, 3.199
-2.712, 2.426, 3.199
-2.798, 7.621, 5.581
-2.673, 8.523, 5.581
-2.469, 12.142, 7.260
-2.149, 12.382, 7.260
-3.666, 14.256, 8.292
-4.610, 14.528, 8.292
-5.010, 14.950, 9.218
-5.020, 14.879, 9.218
-5.427, 13.691, 9.973
-5.894, 12.772, 9.973
-4.597, 9.585, 9.667
-4.270, 8.596, 9.667
-1.750, 3.690, 8.787
-1.185, 3.750, 8.787
0.773, -3.048, 7.944
0.760, -4.144, 7.944
1.880, -10.917, 7.056
1.896, -11.720, 7.056
2.757, -15.951, 6.773
3.209, -16.298, 6.773
3.438, -19.861, 6.536
3.473, -20.357, 6.536
3.559, -23.797, 6.213
3.538, -23.856, 6.213
3.854, -27.211, 6.159
3.899, -27.384, 6.159
4.057, -30.629, 6.233
3.894, -31.399, 6.233
4.953, -33.759, 6.279
5.196, -34.060, 6.279
6.302, -36.766, 6.290
6.887, -37.200, 6.290
7.163, -40.698, 6.239
7.260, -41.164, 6.239
6.957, -45.191, 5.966
6.537, -45.491, 5.966
6.708, -49.880, 5.460
6.638, -50.701, 5.460
7.229, -54.816, 4.923
7.564, -55.271, 4.923
8.073, -58.426, 4.352
8.274, -58.202, 4.352
7.608, -61.405, 3.786
6.744, -61.786, 3.786
6.994, -62.312, 3.328
6.849, -61.828, 3.328
6.011, -57.821, 3.113
5.019, -56.769, 3.113
6.414, -48.836, 2.729
6.841, -49.009, 2.729
7.843, -38.703, 2.569
7.824, -38.002, 2.569
8.683, -27.830, 3.161
8.509, -26.066, 3.161
8.311, -16.720, 3.988
8.121, -16.003, 3.988
7.937, -9.875, 4.671
8.050, -9.530, 4.671
7.990, -5.490, 5.335
7.921, -4.466, 5.335
7.861, -3.736, 5.918
7.807, -3.530, 5.918
8.936, -2.182, 6.663
9.672, -0.282, 6.663
9.320, -3.047, 10.611
9.553, -3.788, 10.611
5.789, -6.116, 19.922
4.193, -6.264, 19.922
4.791, -9.861, 28.373
5.726, -11.207, 28.373
5.445, -12.868, 33.247
5.993, -13.438, 33.247
5.149, -13.611, 36.397
5.050, -13.073, 36.397
4.933, -12.790, 38.275
4.739, -12.265, 38.275
6.346, -12.205, 38.300
7.385, -12.169, 38.300
6.582, -12.304, 37.006
5.190, -12.314, 37.006
5.418, -13.096, 33.384
5.075, -13.764, 33.384
4.092, -19.486, 24.237
3.335, -23.877, 24.237
3.379, -22.073, 12.017
3.422, -19.878, 12.017
2.854, -20.948, 0.000
0.849, -19.647, 0.000
-0.905, -20.061, -7.431
-2.815, -21.215, -7.431
-2.417, -18.336, -13.415
-2.102, -17.143, -13.415
-3.013, -14.488, -18.922
-4.137, -13.524, -18.922
-3.531, -11.209, -24.229
-3.783, -10.163, -24.229
-3.358, -8.764, -29.429
-3.656, -8.757, -29.429
-3.627, -6.209, -33.884
-4.035, -4.786, -33.884
-3.453, -4.335, -37.242
-3.213, -4.509, -37.242
-1.915, -3.589, -39.548
-1.425, -3.379, -39.548
-0.927, -2.473, -41.596
-1.164, -2.077, -41.596
-1.635, -1.622, -43.470
-2.619, -1.563, -43.470
-1.954, -1.104, -45.216
